nazione,fascia_eta,misura,sesso,anno,valore
BG,Y15-24,Percentage of population in the labour force,F,2020,17.7
BG,Y15-24,Percentage of population in the labour force,F,2021,15.1
BG,Y15-24,Percentage of population in the labour force,F,2022,10.4
BG,Y15-24,Percentage of population in the labour force,F,2023,11.1
BG,Y15-24,Percentage of population in the labour force,F,2024,11.7
CH,Y15-24,Percentage of population in the labour force,F,2010,8.7
CH,Y15-24,Percentage of population in the labour force,F,2011,7.9
CH,Y15-24,Percentage of population in the labour force,F,2012,8.0
CH,Y15-24,Percentage of population in the labour force,F,2013,8.8
CH,Y15-24,Percentage of population in the labour force,F,2014,8.6
CH,Y15-24,Percentage of population in the labour force,F,2015,8.4
CH,Y15-24,Percentage of population in the labour force,F,2016,8.4
CH,Y15-24,Percentage of population in the labour force,F,2017,8.0
CH,Y15-24,Percentage of population in the labour force,F,2018,7.5
CH,Y15-24,Percentage of population in the labour force,F,2019,7.2
CH,Y15-24,Percentage of population in the labour force,F,2020,8.0
CH,Y15-24,Percentage of population in the labour force,F,2021,8.3
CH,Y15-24,Percentage of population in the labour force,F,2022,6.8
CH,Y15-24,Percentage of population in the labour force,F,2023,7.6
CH,Y15-24,Percentage of population in the labour force,F,2024,8.5
CY,Y15-24,Percentage of population in the labour force,F,2009,14.0
CY,Y15-24,Percentage of population in the labour force,F,2010,17.2
CY,Y15-24,Percentage of population in the labour force,F,2011,21.5
CY,Y15-24,Percentage of population in the labour force,F,2012,26.7
CY,Y15-24,Percentage of population in the labour force,F,2013,36.8
CY,Y15-24,Percentage of population in the labour force,F,2014,34.6
CY,Y15-24,Percentage of population in the labour force,F,2015,31.1
CY,Y15-24,Percentage of population in the labour force,F,2016,31.8
CY,Y15-24,Percentage of population in the labour force,F,2017,22.9
CY,Y15-24,Percentage of population in the labour force,F,2018,16.2
CY,Y15-24,Percentage of population in the labour force,F,2019,15.1
CY,Y15-24,Percentage of population in the labour force,F,2020,11.7
CY,Y15-24,Percentage of population in the labour force,F,2021,16.1
CY,Y15-24,Percentage of population in the labour force,F,2022,18.0
CY,Y15-24,Percentage of population in the labour force,F,2023,14.7
CY,Y15-24,Percentage of population in the labour force,F,2024,13.6
CZ,Y15-24,Percentage of population in the labour force,F,2009,16.7
CZ,Y15-24,Percentage of population in the labour force,F,2010,18.5
CZ,Y15-24,Percentage of population in the labour force,F,2011,18.0
CZ,Y15-24,Percentage of population in the labour force,F,2012,19.0
CZ,Y15-24,Percentage of population in the labour force,F,2013,19.4
CZ,Y15-24,Percentage of population in the labour force,F,2014,17.1
CZ,Y15-24,Percentage of population in the labour force,F,2015,14.4
CZ,Y15-24,Percentage of population in the labour force,F,2016,11.4
CZ,Y15-24,Percentage of population in the labour force,F,2017,8.7
CZ,Y15-24,Percentage of population in the labour force,F,2018,7.2
CZ,Y15-24,Percentage of population in the labour force,F,2019,6.0
CZ,Y15-24,Percentage of population in the labour force,F,2020,9.2
CZ,Y15-24,Percentage of population in the labour force,F,2021,9.1
CZ,Y15-24,Percentage of population in the labour force,F,2022,7.9
CZ,Y15-24,Percentage of population in the labour force,F,2023,8.8
CZ,Y15-24,Percentage of population in the labour force,F,2024,9.9
DE,Y15-24,Percentage of population in the labour force,F,2009,10.5
DE,Y15-24,Percentage of population in the labour force,F,2010,9.4
DE,Y15-24,Percentage of population in the labour force,F,2011,8.4
DE,Y15-24,Percentage of population in the labour force,F,2012,7.8
DE,Y15-24,Percentage of population in the labour force,F,2013,7.6
DE,Y15-24,Percentage of population in the labour force,F,2014,7.6
DE,Y15-24,Percentage of population in the labour force,F,2015,6.9
DE,Y15-24,Percentage of population in the labour force,F,2016,6.6
DE,Y15-24,Percentage of population in the labour force,F,2017,6.2
DE,Y15-24,Percentage of population in the labour force,F,2018,5.5
DE,Y15-24,Percentage of population in the labour force,F,2019,5.1
DE,Y15-24,Percentage of population in the labour force,F,2020,7.3
DE,Y15-24,Percentage of population in the labour force,F,2021,6.5
DE,Y15-24,Percentage of population in the labour force,F,2022,5.5
DE,Y15-24,Percentage of population in the labour force,F,2023,5.3
DE,Y15-24,Percentage of population in the labour force,F,2024,5.9
DK,Y15-24,Percentage of population in the labour force,F,2009,11.6
DK,Y15-24,Percentage of population in the labour force,F,2010,13.2
DK,Y15-24,Percentage of population in the labour force,F,2011,14.4
DK,Y15-24,Percentage of population in the labour force,F,2012,14.8
DK,Y15-24,Percentage of population in the labour force,F,2013,13.3
DK,Y15-24,Percentage of population in the labour force,F,2014,12.9
DK,Y15-24,Percentage of population in the labour force,F,2015,11.1
DK,Y15-24,Percentage of population in the labour force,F,2016,10.8
DK,Y15-24,Percentage of population in the labour force,F,2017,11.9
DK,Y15-24,Percentage of population in the labour force,F,2018,9.2
DK,Y15-24,Percentage of population in the labour force,F,2019,9.7
DK,Y15-24,Percentage of population in the labour force,F,2020,10.7
DK,Y15-24,Percentage of population in the labour force,F,2021,11.0
DK,Y15-24,Percentage of population in the labour force,F,2022,10.5
DK,Y15-24,Percentage of population in the labour force,F,2023,11.3
DK,Y15-24,Percentage of population in the labour force,F,2024,14.2
EA20,Y15-24,Percentage of population in the labour force,F,2009,20.6
EA20,Y15-24,Percentage of population in the labour force,F,2010,21.8
EA20,Y15-24,Percentage of population in the labour force,F,2011,22.0
EA20,Y15-24,Percentage of population in the labour force,F,2012,24.1
EA20,Y15-24,Percentage of population in the labour force,F,2013,25.1
EA20,Y15-24,Percentage of population in the labour force,F,2014,24.3
EA20,Y15-24,Percentage of population in the labour force,F,2015,22.7
EA20,Y15-24,Percentage of population in the labour force,F,2016,21.4
EA20,Y15-24,Percentage of population in the labour force,F,2017,19.1
EA20,Y15-24,Percentage of population in the labour force,F,2018,17.3
EA20,Y15-24,Percentage of population in the labour force,F,2019,16.2
EA20,Y15-24,Percentage of population in the labour force,F,2020,18.3
EA20,Y15-24,Percentage of population in the labour force,F,2021,17.0
EA20,Y15-24,Percentage of population in the labour force,F,2022,14.4
EA20,Y15-24,Percentage of population in the labour force,F,2023,14.0
EA20,Y15-24,Percentage of population in the labour force,F,2024,14.3
EE,Y15-24,Percentage of population in the labour force,F,2009,21.5
EE,Y15-24,Percentage of population in the labour force,F,2010,28.8
EE,Y15-24,Percentage of population in the labour force,F,2011,20.3
EE,Y15-24,Percentage of population in the labour force,F,2012,18.2
EE,Y15-24,Percentage of population in the labour force,F,2013,19.6
EE,Y15-24,Percentage of population in the labour force,F,2014,9.9
EE,Y15-24,Percentage of population in the labour force,F,2015,12.9
EE,Y15-24,Percentage of population in the labour force,F,2016,10.4
EE,Y15-24,Percentage of population in the labour force,F,2017,9.3
EE,Y15-24,Percentage of population in the labour force,F,2018,11.1
EE,Y15-24,Percentage of population in the labour force,F,2019,12.0
EE,Y15-24,Percentage of population in the labour force,F,2020,18.3
EE,Y15-24,Percentage of population in the labour force,F,2021,15.0
EE,Y15-24,Percentage of population in the labour force,F,2022,16.5
EE,Y15-24,Percentage of population in the labour force,F,2023,16.4
EE,Y15-24,Percentage of population in the labour force,F,2024,19.3
EL,Y15-24,Percentage of population in the labour force,F,2009,33.6
EL,Y15-24,Percentage of population in the labour force,F,2010,41.1
EL,Y15-24,Percentage of population in the labour force,F,2011,52.1
EL,Y15-24,Percentage of population in the labour force,F,2012,63.4
EL,Y15-24,Percentage of population in the labour force,F,2013,64.6
EL,Y15-24,Percentage of population in the labour force,F,2014,58.5
EL,Y15-24,Percentage of population in the labour force,F,2015,54.8
EL,Y15-24,Percentage of population in the labour force,F,2016,52.1
EL,Y15-24,Percentage of population in the labour force,F,2017,49.0
EL,Y15-24,Percentage of population in the labour force,F,2018,45.4
EL,Y15-24,Percentage of population in the labour force,F,2019,41.0
EL,Y15-24,Percentage of population in the labour force,F,2020,42.8
EL,Y15-24,Percentage of population in the labour force,F,2021,40.9
EL,Y15-24,Percentage of population in the labour force,F,2022,38.8
EL,Y15-24,Percentage of population in the labour force,F,2023,29.4
EL,Y15-24,Percentage of population in the labour force,F,2024,24.1
ES,Y15-24,Percentage of population in the labour force,F,2009,36.1
ES,Y15-24,Percentage of population in the labour force,F,2010,39.6
ES,Y15-24,Percentage of population in the labour force,F,2011,44.0
ES,Y15-24,Percentage of population in the labour force,F,2012,51.4
ES,Y15-24,Percentage of population in the labour force,F,2013,54.6
ES,Y15-24,Percentage of population in the labour force,F,2014,52.9
ES,Y15-24,Percentage of population in the labour force,F,2015,48.0
ES,Y15-24,Percentage of population in the labour force,F,2016,44.9
ES,Y15-24,Percentage of population in the labour force,F,2017,37.4
ES,Y15-24,Percentage of population in the labour force,F,2018,33.3
ES,Y15-24,Percentage of population in the labour force,F,2019,34.5
ES,Y15-24,Percentage of population in the labour force,F,2020,39.7
ES,Y15-24,Percentage of population in the labour force,F,2021,36.2
ES,Y15-24,Percentage of population in the labour force,F,2022,30.9
ES,Y15-24,Percentage of population in the labour force,F,2023,28.5
ES,Y15-24,Percentage of population in the labour force,F,2024,27.1
EU27_2020,Y15-24,Percentage of population in the labour force,F,2009,20.6
EU27_2020,Y15-24,Percentage of population in the labour force,F,2010,22.1
EU27_2020,Y15-24,Percentage of population in the labour force,F,2011,22.6
EU27_2020,Y15-24,Percentage of population in the labour force,F,2012,24.4
EU27_2020,Y15-24,Percentage of population in the labour force,F,2013,25.2
EU27_2020,Y15-24,Percentage of population in the labour force,F,2014,24.0
EU27_2020,Y15-24,Percentage of population in the labour force,F,2015,22.1
EU27_2020,Y15-24,Percentage of population in the labour force,F,2016,20.5
EU27_2020,Y15-24,Percentage of population in the labour force,F,2017,18.3
EU27_2020,Y15-24,Percentage of population in the labour force,F,2018,16.5
EU27_2020,Y15-24,Percentage of population in the labour force,F,2019,15.6
EU27_2020,Y15-24,Percentage of population in the labour force,F,2020,17.7
EU27_2020,Y15-24,Percentage of population in the labour force,F,2021,16.8
EU27_2020,Y15-24,Percentage of population in the labour force,F,2022,14.5
EU27_2020,Y15-24,Percentage of population in the labour force,F,2023,14.1
EU27_2020,Y15-24,Percentage of population in the labour force,F,2024,14.6
FI,Y15-24,Percentage of population in the labour force,F,2009,18.6
FI,Y15-24,Percentage of population in the labour force,F,2010,19.4
FI,Y15-24,Percentage of population in the labour force,F,2011,18.4
FI,Y15-24,Percentage of population in the labour force,F,2012,18.2
FI,Y15-24,Percentage of population in the labour force,F,2013,17.4
FI,Y15-24,Percentage of population in the labour force,F,2014,17.9
FI,Y15-24,Percentage of population in the labour force,F,2015,19.1
FI,Y15-24,Percentage of population in the labour force,F,2016,18.9
FI,Y15-24,Percentage of population in the labour force,F,2017,19.1
FI,Y15-24,Percentage of population in the labour force,F,2018,17.0
FI,Y15-24,Percentage of population in the labour force,F,2019,15.9
FI,Y15-24,Percentage of population in the labour force,F,2020,19.2
FI,Y15-24,Percentage of population in the labour force,F,2021,16.4
FI,Y15-24,Percentage of population in the labour force,F,2022,14.0
FI,Y15-24,Percentage of population in the labour force,F,2023,15.4
FI,Y15-24,Percentage of population in the labour force,F,2024,18.0
FR,Y15-24,Percentage of population in the labour force,F,2003,22.7
FR,Y15-24,Percentage of population in the labour force,F,2004,24.7
FR,Y15-24,Percentage of population in the labour force,F,2005,25.7
FR,Y15-24,Percentage of population in the labour force,F,2006,27.2
FR,Y15-24,Percentage of population in the labour force,F,2007,23.8
FR,Y15-24,Percentage of population in the labour force,F,2008,22.3
FR,Y15-24,Percentage of population in the labour force,F,2009,26.5
FR,Y15-24,Percentage of population in the labour force,F,2010,27.8
FR,Y15-24,Percentage of population in the labour force,F,2011,27.3
FR,Y15-24,Percentage of population in the labour force,F,2012,27.9
FR,Y15-24,Percentage of population in the labour force,F,2013,29.5
FR,Y15-24,Percentage of population in the labour force,F,2014,27.2
FR,Y15-24,Percentage of population in the labour force,F,2015,27.4
FR,Y15-24,Percentage of population in the labour force,F,2016,28.0
FR,Y15-24,Percentage of population in the labour force,F,2017,24.9
FR,Y15-24,Percentage of population in the labour force,F,2018,23.5
FR,Y15-24,Percentage of population in the labour force,F,2019,21.6
FR,Y15-24,Percentage of population in the labour force,F,2020,23.5
FR,Y15-24,Percentage of population in the labour force,F,2021,18.8
FR,Y15-24,Percentage of population in the labour force,F,2022,16.0
FR,Y15-24,Percentage of population in the labour force,F,2023,16.1
FR,Y15-24,Percentage of population in the labour force,F,2024,18.4
HR,Y15-24,Percentage of population in the labour force,F,2009,27.5
HR,Y15-24,Percentage of population in the labour force,F,2010,33.6
HR,Y15-24,Percentage of population in the labour force,F,2011,36.1
HR,Y15-24,Percentage of population in the labour force,F,2012,42.3
HR,Y15-24,Percentage of population in the labour force,F,2013,51.0
HR,Y15-24,Percentage of population in the labour force,F,2014,46.6
HR,Y15-24,Percentage of population in the labour force,F,2015,43.5
HR,Y15-24,Percentage of population in the labour force,F,2016,31.0
HR,Y15-24,Percentage of population in the labour force,F,2017,27.2
HR,Y15-24,Percentage of population in the labour force,F,2018,29.1
HR,Y15-24,Percentage of population in the labour force,F,2019,18.8
HR,Y15-24,Percentage of population in the labour force,F,2020,23.9
HR,Y15-24,Percentage of population in the labour force,F,2021,26.3
HR,Y15-24,Percentage of population in the labour force,F,2022,22.1
HR,Y15-24,Percentage of population in the labour force,F,2023,21.9
HR,Y15-24,Percentage of population in the labour force,F,2024,18.2
HU,Y15-24,Percentage of population in the labour force,F,2009,23.3
HU,Y15-24,Percentage of population in the labour force,F,2010,23.5
HU,Y15-24,Percentage of population in the labour force,F,2011,23.5
HU,Y15-24,Percentage of population in the labour force,F,2012,26.3
HU,Y15-24,Percentage of population in the labour force,F,2013,26.8
HU,Y15-24,Percentage of population in the labour force,F,2014,20.2
HU,Y15-24,Percentage of population in the labour force,F,2015,15.5
HU,Y15-24,Percentage of population in the labour force,F,2016,12.4
HU,Y15-24,Percentage of population in the labour force,F,2017,11.5
HU,Y15-24,Percentage of population in the labour force,F,2018,10.0
HU,Y15-24,Percentage of population in the labour force,F,2019,10.6
HU,Y15-24,Percentage of population in the labour force,F,2020,13.5
HU,Y15-24,Percentage of population in the labour force,F,2021,15.6
HU,Y15-24,Percentage of population in the labour force,F,2022,9.6
HU,Y15-24,Percentage of population in the labour force,F,2023,12.3
HU,Y15-24,Percentage of population in the labour force,F,2024,14.8
IE,Y15-24,Percentage of population in the labour force,F,2009,16.8
IE,Y15-24,Percentage of population in the labour force,F,2010,20.9
IE,Y15-24,Percentage of population in the labour force,F,2011,22.3
IE,Y15-24,Percentage of population in the labour force,F,2012,23.5
IE,Y15-24,Percentage of population in the labour force,F,2013,22.8
IE,Y15-24,Percentage of population in the labour force,F,2014,19.8
IE,Y15-24,Percentage of population in the labour force,F,2015,16.3
IE,Y15-24,Percentage of population in the labour force,F,2016,13.6
IE,Y15-24,Percentage of population in the labour force,F,2017,12.6
IE,Y15-24,Percentage of population in the labour force,F,2018,12.6
IE,Y15-24,Percentage of population in the labour force,F,2019,10.6
IE,Y15-24,Percentage of population in the labour force,F,2020,15.8
IE,Y15-24,Percentage of population in the labour force,F,2021,14.6
IE,Y15-24,Percentage of population in the labour force,F,2022,9.9
IE,Y15-24,Percentage of population in the labour force,F,2023,10.6
IE,Y15-24,Percentage of population in the labour force,F,2024,10.3
IS,Y15-24,Percentage of population in the labour force,F,2009,12.0
IS,Y15-24,Percentage of population in the labour force,F,2010,14.1
IS,Y15-24,Percentage of population in the labour force,F,2011,10.7
IS,Y15-24,Percentage of population in the labour force,F,2012,12.3
IS,Y15-24,Percentage of population in the labour force,F,2013,7.7
IS,Y15-24,Percentage of population in the labour force,F,2014,6.6
IS,Y15-24,Percentage of population in the labour force,F,2015,6.7
IS,Y15-24,Percentage of population in the labour force,F,2016,6.4
IS,Y15-24,Percentage of population in the labour force,F,2017,7.1
IS,Y15-24,Percentage of population in the labour force,F,2018,5.6
IS,Y15-24,Percentage of population in the labour force,F,2019,5.6
IS,Y15-24,Percentage of population in the labour force,F,2020,9.0
IS,Y15-24,Percentage of population in the labour force,F,2021,10.9
IS,Y15-24,Percentage of population in the labour force,F,2022,5.6
IS,Y15-24,Percentage of population in the labour force,F,2023,7.2
IS,Y15-24,Percentage of population in the labour force,F,2024,9.4
IT,Y15-24,Percentage of population in the labour force,F,2009,28.6
IT,Y15-24,Percentage of population in the labour force,F,2010,29.4
IT,Y15-24,Percentage of population in the labour force,F,2011,32.2
IT,Y15-24,Percentage of population in the labour force,F,2012,37.6
IT,Y15-24,Percentage of population in the labour force,F,2013,41.4
IT,Y15-24,Percentage of population in the labour force,F,2014,44.6
IT,Y15-24,Percentage of population in the labour force,F,2015,42.6
IT,Y15-24,Percentage of population in the labour force,F,2016,39.6
IT,Y15-24,Percentage of population in the labour force,F,2017,37.2
IT,Y15-24,Percentage of population in the labour force,F,2018,34.9
IT,Y15-24,Percentage of population in the labour force,F,2019,31.1
IT,Y15-24,Percentage of population in the labour force,F,2020,32.1
IT,Y15-24,Percentage of population in the labour force,F,2021,32.8
IT,Y15-24,Percentage of population in the labour force,F,2022,25.8
IT,Y15-24,Percentage of population in the labour force,F,2023,25.2
IT,Y15-24,Percentage of population in the labour force,F,2024,22.2
LT,Y15-24,Percentage of population in the labour force,F,2009,22.4
LT,Y15-24,Percentage of population in the labour force,F,2010,31.6
LT,Y15-24,Percentage of population in the labour force,F,2011,29.4
LT,Y15-24,Percentage of population in the labour force,F,2012,22.7
LT,Y15-24,Percentage of population in the labour force,F,2013,20.4
LT,Y15-24,Percentage of population in the labour force,F,2014,18.7
LT,Y15-24,Percentage of population in the labour force,F,2015,16.6
LT,Y15-24,Percentage of population in the labour force,F,2016,12.6
LT,Y15-24,Percentage of population in the labour force,F,2017,11.7
LT,Y15-24,Percentage of population in the labour force,F,2018,10.1
LT,Y15-24,Percentage of population in the labour force,F,2019,9.3
LT,Y15-24,Percentage of population in the labour force,F,2020,17.3
LT,Y15-24,Percentage of population in the labour force,F,2021,14.7
LT,Y15-24,Percentage of population in the labour force,F,2022,10.4
LT,Y15-24,Percentage of population in the labour force,F,2023,10.2
LT,Y15-24,Percentage of population in the labour force,F,2024,16.4
LU,Y15-24,Percentage of population in the labour force,F,2009,17.8
LU,Y15-24,Percentage of population in the labour force,F,2010,10.2
LU,Y15-24,Percentage of population in the labour force,F,2011,20.8
LU,Y15-24,Percentage of population in the labour force,F,2012,18.6
LU,Y15-24,Percentage of population in the labour force,F,2013,10.9
LU,Y15-24,Percentage of population in the labour force,F,2014,18.1
LU,Y15-24,Percentage of population in the labour force,F,2015,15.7
LU,Y15-24,Percentage of population in the labour force,F,2016,18.0
LU,Y15-24,Percentage of population in the labour force,F,2017,13.2
LU,Y15-24,Percentage of population in the labour force,F,2018,11.9
LU,Y15-24,Percentage of population in the labour force,F,2019,16.0
LU,Y15-24,Percentage of population in the labour force,F,2020,21.3
LU,Y15-24,Percentage of population in the labour force,F,2021,16.1
LU,Y15-24,Percentage of population in the labour force,F,2022,18.5
LU,Y15-24,Percentage of population in the labour force,F,2023,22.7
LU,Y15-24,Percentage of population in the labour force,F,2024,18.1
LV,Y15-24,Percentage of population in the labour force,F,2009,29.2
LV,Y15-24,Percentage of population in the labour force,F,2010,34.8
LV,Y15-24,Percentage of population in the labour force,F,2011,30.6
LV,Y15-24,Percentage of population in the labour force,F,2012,29.5
LV,Y15-24,Percentage of population in the labour force,F,2013,24.9
LV,Y15-24,Percentage of population in the labour force,F,2014,20.0
LV,Y15-24,Percentage of population in the labour force,F,2015,14.2
LV,Y15-24,Percentage of population in the labour force,F,2016,12.4
LV,Y15-24,Percentage of population in the labour force,F,2017,15.4
LV,Y15-24,Percentage of population in the labour force,F,2018,11.8
LV,Y15-24,Percentage of population in the labour force,F,2019,10.1
LV,Y15-24,Percentage of population in the labour force,F,2020,15.5
LV,Y15-24,Percentage of population in the labour force,F,2021,14.6
LV,Y15-24,Percentage of population in the labour force,F,2022,10.2
LV,Y15-24,Percentage of population in the labour force,F,2023,10.0
LV,Y15-24,Percentage of population in the labour force,F,2024,14.1
ME,Y15-24,Percentage of population in the labour force,F,2011,38.4
ME,Y15-24,Percentage of population in the labour force,F,2012,37.6
ME,Y15-24,Percentage of population in the labour force,F,2013,37.2
ME,Y15-24,Percentage of population in the labour force,F,2014,35.4
ME,Y15-24,Percentage of population in the labour force,F,2015,34.5
ME,Y15-24,Percentage of population in the labour force,F,2016,34.6
ME,Y15-24,Percentage of population in the labour force,F,2017,33.1
ME,Y15-24,Percentage of population in the labour force,F,2018,23.6
ME,Y15-24,Percentage of population in the labour force,F,2019,24.3
ME,Y15-24,Percentage of population in the labour force,F,2020,39.7
MK,Y15-24,Percentage of population in the labour force,F,2009,59.4
MK,Y15-24,Percentage of population in the labour force,F,2010,53.3
MK,Y15-24,Percentage of population in the labour force,F,2011,54.8
MK,Y15-24,Percentage of population in the labour force,F,2012,51.8
MK,Y15-24,Percentage of population in the labour force,F,2013,51.0
MK,Y15-24,Percentage of population in the labour force,F,2014,55.0
MK,Y15-24,Percentage of population in the labour force,F,2015,43.3
MK,Y15-24,Percentage of population in the labour force,F,2016,48.8
MK,Y15-24,Percentage of population in the labour force,F,2017,48.6
MK,Y15-24,Percentage of population in the labour force,F,2018,43.2
MK,Y15-24,Percentage of population in the labour force,F,2019,38.9
MK,Y15-24,Percentage of population in the labour force,F,2020,38.6
MT,Y15-24,Percentage of population in the labour force,F,2009,12.5
MT,Y15-24,Percentage of population in the labour force,F,2010,11.8
MT,Y15-24,Percentage of population in the labour force,F,2011,12.9
MT,Y15-24,Percentage of population in the labour force,F,2012,14.5
MT,Y15-24,Percentage of population in the labour force,F,2013,10.4
MT,Y15-24,Percentage of population in the labour force,F,2014,9.5
MT,Y15-24,Percentage of population in the labour force,F,2015,9.8
MT,Y15-24,Percentage of population in the labour force,F,2016,11.4
MT,Y15-24,Percentage of population in the labour force,F,2017,9.9
MT,Y15-24,Percentage of population in the labour force,F,2018,6.7
MT,Y15-24,Percentage of population in the labour force,F,2019,8.6
MT,Y15-24,Percentage of population in the labour force,F,2020,8.3
MT,Y15-24,Percentage of population in the labour force,F,2021,6.0
MT,Y15-24,Percentage of population in the labour force,F,2022,6.0
MT,Y15-24,Percentage of population in the labour force,F,2024,8.4
NL,Y15-24,Percentage of population in the labour force,F,2009,9.7
NL,Y15-24,Percentage of population in the labour force,F,2010,10.7
NL,Y15-24,Percentage of population in the labour force,F,2011,10.2
NL,Y15-24,Percentage of population in the labour force,F,2012,12.0
NL,Y15-24,Percentage of population in the labour force,F,2013,13.0
NL,Y15-24,Percentage of population in the labour force,F,2014,13.2
NL,Y15-24,Percentage of population in the labour force,F,2015,11.6
NL,Y15-24,Percentage of population in the labour force,F,2016,10.8
NL,Y15-24,Percentage of population in the labour force,F,2017,9.5
NL,Y15-24,Percentage of population in the labour force,F,2018,7.6
NL,Y15-24,Percentage of population in the labour force,F,2019,7.2
NL,Y15-24,Percentage of population in the labour force,F,2020,9.7
NL,Y15-24,Percentage of population in the labour force,F,2021,9.0
NL,Y15-24,Percentage of population in the labour force,F,2022,8.0
NL,Y15-24,Percentage of population in the labour force,F,2023,8.2
NL,Y15-24,Percentage of population in the labour force,F,2024,8.5
NO,Y15-24,Percentage of population in the labour force,F,2009,10.1
NO,Y15-24,Percentage of population in the labour force,F,2010,10.1
NO,Y15-24,Percentage of population in the labour force,F,2011,9.9
NO,Y15-24,Percentage of population in the labour force,F,2012,9.6
NO,Y15-24,Percentage of population in the labour force,F,2013,10.1
NO,Y15-24,Percentage of population in the labour force,F,2014,9.2
NO,Y15-24,Percentage of population in the labour force,F,2015,11.4
NO,Y15-24,Percentage of population in the labour force,F,2016,11.8
NO,Y15-24,Percentage of population in the labour force,F,2017,11.4
NO,Y15-24,Percentage of population in the labour force,F,2018,10.7
NO,Y15-24,Percentage of population in the labour force,F,2019,11.4
NO,Y15-24,Percentage of population in the labour force,F,2020,12.7
NO,Y15-24,Percentage of population in the labour force,F,2021,11.8
NO,Y15-24,Percentage of population in the labour force,F,2022,8.8
NO,Y15-24,Percentage of population in the labour force,F,2023,10.6
NO,Y15-24,Percentage of population in the labour force,F,2024,11.4
PL,Y15-24,Percentage of population in the labour force,F,2009,21.3
PL,Y15-24,Percentage of population in the labour force,F,2010,25.4
PL,Y15-24,Percentage of population in the labour force,F,2011,28.6
PL,Y15-24,Percentage of population in the labour force,F,2012,30.0
PL,Y15-24,Percentage of population in the labour force,F,2013,30.2
PL,Y15-24,Percentage of population in the labour force,F,2014,25.6
PL,Y15-24,Percentage of population in the labour force,F,2015,21.0
PL,Y15-24,Percentage of population in the labour force,F,2016,18.1
PL,Y15-24,Percentage of population in the labour force,F,2017,15.1
PL,Y15-24,Percentage of population in the labour force,F,2018,12.1
PL,Y15-24,Percentage of population in the labour force,F,2019,9.8
PL,Y15-24,Percentage of population in the labour force,F,2020,11.4
PL,Y15-24,Percentage of population in the labour force,F,2021,12.3
PL,Y15-24,Percentage of population in the labour force,F,2022,11.2
PL,Y15-24,Percentage of population in the labour force,F,2023,11.1
