STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),isco08,International Standard Classification of Occupations 2008 (ISCO-08),worktime,Working time,age,Age class,sex,Sex,indic_se,Structure of earnings indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,CZ,Czechia,2022,,22414,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,DE,Germany,2006,,39396,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,DE,Germany,2010,,41495,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,DE,Germany,2014,,45429,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,DE,Germany,2018,,49953,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,DE,Germany,2022,,55648,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,DK,Denmark,2006,,47637,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,DK,Denmark,2010,,56083,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,DK,Denmark,2014,,60495,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,DK,Denmark,2018,,64568,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,DK,Denmark,2022,,71798,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EA18,Euro area - 18 countries (2014),2006,,31697,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EA18,Euro area - 18 countries (2014),2010,,34841,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EA18,Euro area - 18 countries (2014),2014,,38337,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EA19,Euro area - 19 countries  (2015-2022),2010,,34513,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EA19,Euro area - 19 countries  (2015-2022),2014,,37967,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EA19,Euro area - 19 countries  (2015-2022),2022,,43902,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EA20,Euro area – 20 countries (from 2023),2022,,43544,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EE,Estonia,2006,,8148,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EE,Estonia,2010,,10585,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EE,Estonia,2014,,13609,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EE,Estonia,2018,,17094,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EE,Estonia,2022,,22858,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EL,Greece,2006,,26933,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EL,Greece,2010,,26106,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EL,Greece,2014,,22957,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EL,Greece,2018,,22552,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EL,Greece,2022,,25558,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,ES,Spain,2002,,21792,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,ES,Spain,2006,,24262,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,ES,Spain,2010,,27975,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,ES,Spain,2014,,28933,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,ES,Spain,2018,,29994,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,ES,Spain,2022,,32814,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EU27_2007,European Union - 27 countries (2007-2013),2010,,31334.09,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EU27_2007,European Union - 27 countries (2007-2013),2014,,34327.53,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EU27_2020,European Union - 27 countries (from 2020),2006,,26731,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EU27_2020,European Union - 27 countries (from 2020),2010,,29759,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EU27_2020,European Union - 27 countries (from 2020),2014,,32642.88,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EU27_2020,European Union - 27 countries (from 2020),2022,,39034,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EU28,European Union - 28 countries (2013-2020),2006,,29506,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EU28,European Union - 28 countries (2013-2020),2010,,31176,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,EU28,European Union - 28 countries (2013-2020),2014,,34210,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,FI,Finland,2006,,34345,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,FI,Finland,2010,,39635,,,,,
dataflow,ESTAT:EARN_SES_ANNUAL$DEFAULTVIEW(1.0),Structure of earnings survey: annual earnings,A,Annual,B-S_X_O,"Industry, construction and services (except public administration, defense, compulsory social security)",TOTAL,Total,FT,Full-time,TOTAL,Total,T,Total,MEAN_E_EUR,Mean earnings in euro,FI,Finland,2014,,44543,,,,,
